A;005;20110801 01:53;VALNET;
D;005;182185;68;20110801 01:54;P;;;;;;
D;005;182185;68;20110801 01:54;V;;;;;;
D;005;182185;68;20110801 01:54;V;;;;;;
B;005;184961;69;20110801 01:54;;;28;MICHAEL HILL AVE;WOODBERRY;2322;686.3;M;20110531;20110705;250000;A;R;RESIDENCE;;GN;;0;AG381529;
C;005;184961;69;20110801 01:54;13/718119;
D;005;184961;69;20110801 01:54;P;;;;;;
D;005;184961;69;20110801 01:54;P;;;;;;
D;005;184961;69;20110801 01:54;V;;;;;;
D;005;184961;69;20110801 01:54;V;;;;;;
D;005;184961;69;20110801 01:54;V;;;;;;
B;005;190400;70;20110801 01:54;;;23;STRONACH AVE;EAST MAITLAND;2323;658.3;M;20110608;20110713;339000;A;R;RESIDENCE;;HA;;0;AG382486;
C;005;190400;70;20110801 01:54;96/247251;
D;005;190400;70;20110801 01:54;P;;;;;;
D;005;190400;70;20110801 01:54;V;;;;;;
D;005;190400;70;20110801 01:54;V;;;;;;
B;005;185152;71;20110801 01:54;;2;11;MOLLY MORGAN DR;EAST MAITLAND;2323;733.1;M;20110701;20110701;1215000;B;3;COMMERCIAL;;BN;;0;AG381561;
C;005;185152;71;20110801 01:54;2/270123;
D;005;185152;71;20110801 01:54;P;;;;;;
D;005;185152;71;20110801 01:54;P;;;;;;
D;005;185152;71;20110801 01:54;V;;;;;;
D;005;185152;71;20110801 01:54;V;;;;;;
D;005;185152;71;20110801 01:54;V;;;;;;
B;005;185154;72;20110801 01:54;;4;11;MOLLY MORGAN DR;EAST MAITLAND;2323;895.4;M;20110630;20110630;78000;B;3;COMMERCIAL;;BN;;10;AG381548;
C;005;185154;72;20110801 01:54;4/270123;
D;005;185154;72;20110801 01:54;P;;;;;;
D;005;185154;72;20110801 01:54;P;;;;;;
D;005;185154;72;20110801 01:54;V;;;;;;
D;005;185154;72;20110801 01:54;V;;;;;;
D;005;185154;72;20110801 01:54;V;;;;;;
B;005;3206847;73;20110801 01:54;;;20;CAMBRIAN PL;EAST MAITLAND;2323;1355;M;20110517;20110704;484000;A;R;RESIDENCE;;HE;;0;AG379544;
C;005;3206847;73;20110801 01:54;20/1088345;
D;005;3206847;73;20110801 01:54;P;;;;;;
D;005;3206847;73;20110801 01:54;V;;;;;;
D;005;3206847;73;20110801 01:54;V;;;;;;
B;005;2772044;74;20110801 01:54;;;91 A;BROOKS ST;TELARAH;2320;362.8;M;20110527;20110708;275000;A;R;RESIDENCE;;EB;;0;AG392069;
C;005;2772044;74;20110801 01:54;101/1016468;
D;005;2772044;74;20110801 01:54;P;;;;;;
D;005;2772044;74;20110801 01:54;V;;;;;;
B;005;2861358;75;20110801 01:54;;;8;HARTLEY DR;THORNTON;2322;7140;M;20110520;20110701;4470000;I;3;INDUSTRIAL;;CM;;0;AG367657;
C;005;2861358;75;20110801 01:54;22/1034386;
D;005;2861358;75;20110801 01:54;P;;;;;;
D;005;2861358;75;20110801 01:54;V;;;;;;
B;005;3272820;76;20110801 01:54;;;1133;LUSKINTYRE RD;LAMBS VALLEY;2335;10.13;H;20101223;20110610;725000;R;R;RESIDENCE;;LI;;0;AG342669;
C;005;3272820;76;20110801 01:54;4/242340;
D;005;3272820;76;20110801 01:54;P;;;;;;
