A;008;20030501 12:36;PBARBER;
B;008;225952;58;20030501 12:37;;;173;GRINSELL ST;KOTARA;2289;720.8;M;20030303;20030320;250000;A;R;RESIDENCE;;HA;;;9515227;
C;008;225952;58;20030501 12:37;1//237128;
D;008;225952;58;20030501 12:37;P;;;;;;
D;008;225952;58;20030501 12:37;P;;;;;;
D;008;225952;58;20030501 12:37;V;;;;;;
B;008;227233;59;20030501 12:37;;2;4;HARVARD CL;JESMOND;2299;;;20030317;20030408;158000;;R;RESIDENCE;2;;;;9529759;
C;008;227233;59;20030501 12:37;2//SP 6426;
D;008;227233;59;20030501 12:37;P;;;;;;
D;008;227233;59;20030501 12:37;V;;;;;;
B;008;229039;60;20030501 12:37;;;47;HOLT ST;MAYFIELD EAST;2304;;;20030213;20030404;212000;A;R;RESIDENCE;;JE;;;9523170;
C;008;229039;60;20030501 12:37;24/D/1861;
D;008;229039;60;20030501 12:37;P;;;;;;
D;008;229039;60;20030501 12:37;V;;;;;;
D;008;229039;60;20030501 12:37;V;;;;;;
B;008;229743;61;20030501 12:37;;;223;HUNTER ST;NEWCASTLE;2300;3496;M;20021107;20030410;4050000;B;3;RETAIL;;LG;;;9539890;
C;008;229743;61;20030501 12:37;1//228133;
D;008;229743;61;20030501 12:37;P;;;;;;
D;008;229743;61;20030501 12:37;V;;;;;;
D;008;229743;61;20030501 12:37;V;;;;;;
B;008;229873;62;20030501 12:37;;7;;HUNTER ST HOUSE NO: 456/460;NEWCASTLE;2300;;;20030218;20030325;242000;;3;COMMERCIAL;7;;;;9518097;
C;008;229873;62;20030501 12:37;7//SP 61133;
D;008;229873;62;20030501 12:37;P;;;;;;
D;008;229873;62;20030501 12:37;V;;;;;;
B;008;229903;63;20030501 12:37;;18;522;HUNTER ST;NEWCASTLE;2300;;;20030210;20030410;299950;;3;UNIT;18;;;;9550485;
C;008;229903;63;20030501 12:37;18//SP 54886;
D;008;229903;63;20030501 12:37;P;;;;;;
D;008;229903;63;20030501 12:37;P;;;;;;
D;008;229903;63;20030501 12:37;P;;;;;;
D;008;229903;63;20030501 12:37;V;;;;;;
B;008;232012;64;20030501 12:37;;;17;KAURI CL;WALLSEND;2287;403.2;M;20030408;20030408;222500;A;R;RESIDENCE;;AJ;;;9515590;
C;008;232012;64;20030501 12:37;11//285525;
D;008;232012;64;20030501 12:37;P;;;;;;
D;008;232012;64;20030501 12:37;V;;;;;;
B;008;232685;65;20030501 12:37;;;7;KIAH PL;MEREWETHER;2291;;;20030211;20030211;195000;A;R;RESIDENCE;;HM;AC;;9435194;
C;008;232685;65;20030501 12:37;73//226252;
D;008;232685;65;20030501 12:37;P;;;;;;
D;008;232685;65;20030501 12:37;V;;;;;;
D;008;232685;65;20030501 12:37;V;;;;;;
B;008;233119;66;20030501 12:37;;3;35;KING ST;NEWCASTLE;2300;;;20020705;20020705;255000;;3;COMMERCIAL OF;3;;;;9401630;
C;008;233119;66;20030501 12:37;3//SP 48939;
D;008;233119;66;20030501 12:37;P;;;;;;
D;008;233119;66;20030501 12:37;P;;;;;;
D;008;233119;66;20030501 12:37;V;;;;;;
B;008;233329;67;20030501 12:37;;;99;KINGS RD;NEW LAMBTON;2305;822;M;20030220;20030327;193590;A;R;RESIDENCE;;FE;;;9548204;
C;008;233329;67;20030501 12:37;29/A/4020;
D;008;233329;67;20030501 12:37;P;;;;;;
D;008;233329;67;20030501 12:37;P;;;;;;
D;008;233329;67;20030501 12:37;V;;;;;;
B;008;233360;68;20030501 12:37;;7;159;KINGS RD;NEW LAMBTON;2305;;;20030129;20030305;187000;;R;RESIDENCE;7;;;;9541656;
C;008;233360;68;20030501 12:37;7//SP 63401;
D;008;233360;68;20030501 12:37;P;;;;;;
D;008;233360;68;20030501 12:37;V;;;;;;
B;008;233542;69;20030501 12:37;;;;KINGS RD;TIGHES HILL;2297;1056;M;20021219;20030117;225000;I;R;RESIDENCE;;GH;;;9515070;
C;008;233542;69;20030501 12:37;1//656719;
D;008;233542;69;20030501 12:37;P;;;;;;
D;008;233542;69;20030501 12:37;V;;;;;;
D;008;233542;69;20030501 12:37;V;;;;;;
B;008;234228;70;20030501 12:37;;;50;LAMAN ST;COOKS HILL;2300;101.2;M;20030207;20030411;430000;A;R;RESIDENCE;;KA;;;9538728;
C;008;234228;70;20030501 12:37;1//795067;
D;008;234228;70;20030501 12:37;P;;;;;;
D;008;234228;70;20030501 12:37;V;;;;;;
B;008;236014;71;20030501 12:37;;;21;LOCKYER ST;MEREWETHER;2291;;;20030307;20030411;345000;A;R;RESIDENCE;;HB;;;9538779;
C;008;236014;71;20030501 12:37;30/E/109967;
D;008;236014;71;20030501 12:37;P;;;;;;
D;008;236014;71;20030501 12:37;P;;;;;;
D;008;236014;71;20030501 12:37;V;;;;;;
B;008;237112;72;20030501 12:37;;;24;MACKIE AVE;NEW LAMBTON;2305;;;20030311;20030408;215000;A;R;RESIDENCE;;FE;;;9528897;
C;008;237112;72;20030501 12:37;16/1/8570;
D;008;237112;72;20030501 12:37;P;;;;;;
D;008;237112;72;20030501 12:37;V;;;;;;
D;008;237112;72;20030501 12:37;V;;;;;;
B;008;237131;73;20030501 12:37;;13;60;MACKIE AVE;NEW LAMBTON;2305;;;20030305;20030325;239950;;3;HOME UNIT;13;;;;9542830;
C;008;237131;73;20030501 12:37;13//SP 45366;
D;008;237131;73;20030501 12:37;P;;;;;;
D;008;237131;73;20030501 12:37;V;;;;;;
B;008;237277;74;20030501 12:37;;;85;MACQUARIE ST;MEREWETHER;2291;;;20030117;20030221;418000;A;R;RESIDENCE;;HF;;;9531557;
C;008;237277;74;20030501 12:37;66/11/111240;
D;008;237277;74;20030501 12:37;P;;;;;;
D;008;237277;74;20030501 12:37;P;;;;;;
D;008;237277;74;20030501 12:37;V;;;;;;
D;008;237277;74;20030501 12:37;V;;;;;;
