A;003;20020102 13:56;PTHIRLWELL;
B;003;31855;47;20020102 13:56;;;30;BERECRY RD;MANGROVE MOUNTAIN;2250;7.234;H;20010514;20010730;860000;R;R;RESIDENCE;;RA;RR;;8169105;
C;003;31855;47;20020102 13:56;200//755253;
D;003;31855;47;20020102 13:56;P;;;;;;
D;003;31855;47;20020102 13:56;P;;;;;;
D;003;31855;47;20020102 13:56;V;;;;;;
B;003;31929;48;20020102 13:56;;3;17;BERITH ST;UMINA;2257;;;20010920;20011102;285000;;R;RESIDENCE;3;;XA;;8183703;
C;003;31929;48;20020102 13:56;3//37343;
D;003;31929;48;20020102 13:56;P;;;;;;
D;003;31929;48;20020102 13:56;P;;;;;;
D;003;31929;48;20020102 13:56;V;;;;;;
B;003;32145;49;20020102 13:56;;;34;BERYL BVD;PEARL BEACH;2256;676.6;M;20011030;20011211;300000;A;R;RESIDENCE;;FV;;;8213531;
C;003;32145;49;20020102 13:56;20//14817;
D;003;32145;49;20020102 13:56;P;;;;;;
D;003;32145;49;20020102 13:56;P;;;;;;
D;003;32145;49;20020102 13:56;V;;;;;;
B;003;32266;50;20020102 13:56;;12;5;BILLABONG ST;WOY WOY;2256;;;20001221;20010201;155000;;3;CARSPACE;12;;XA;;8164437;
C;003;32266;50;20020102 13:56;12//16458;
D;003;32266;50;20020102 13:56;P;;;;;;
D;003;32266;50;20020102 13:56;V;;;;;;
D;003;32266;50;20020102 13:56;V;;;;;;
B;003;32319;51;20020102 13:56;;;1;BINYA AVE;WYOMING;2250;708.2;M;20011022;20011203;224000;A;R;RESIDENCE;;FB;;;8195128;
C;003;32319;51;20020102 13:56;66//237885;
D;003;32319;51;20020102 13:56;P;;;;;;
D;003;32319;51;20020102 13:56;P;;;;;;
D;003;32319;51;20020102 13:56;V;;;;;;
D;003;32319;51;20020102 13:56;V;;;;;;
B;003;32501;52;20020102 13:56;;;53;BLACKBUTT ST;WYOMING;2250;576.8;M;20010815;20011026;232000;A;R;RESIDENCE;;FB;;;8216276;
C;003;32501;52;20020102 13:56;14//808127;
D;003;32501;52;20020102 13:56;P;;;;;;
D;003;32501;52;20020102 13:56;P;;;;;;
D;003;32501;52;20020102 13:56;V;;;;;;
B;003;32501;53;20020102 13:56;;;53;BLACKBUTT ST;WYOMING;2250;576.8;M;20010915;20011026;235000;A;R;RESIDENCE;;FB;;;8216277;
C;003;32501;53;20020102 13:56;14//808127;
D;003;32501;53;20020102 13:56;P;;;;;;
D;003;32501;53;20020102 13:56;P;;;;;;
D;003;32501;53;20020102 13:56;V;;;;;;
D;003;32501;53;20020102 13:56;V;;;;;;
B;003;32535;54;20020102 13:56;;;58;BLACKBUTT ST;WYOMING;2250;966.7;M;20011030;20011204;199950;A;R;RESIDENCE;;FB;;;8203472;
C;003;32535;54;20020102 13:56;18//711973;
D;003;32535;54;20020102 13:56;P;;;;;;
D;003;32535;54;20020102 13:56;V;;;;;;
D;003;32535;54;20020102 13:56;V;;;;;;
B;003;32637;55;20020102 13:56;;;189;BLACKWALL RD;WOY WOY;2256;720.8;M;20011127;20011207;247000;A;R;RESIDENCE;;MK;;;8193383;
C;003;32637;55;20020102 13:56;36//6846;
D;003;32637;55;20020102 13:56;P;;;;;;
D;003;32637;55;20020102 13:56;V;;;;;;
B;003;32648;56;20020102 13:56;;;205;BLACKWALL RD;WOY WOY;2256;720.8;M;20010913;20011122;708000;A;R;RESIDENCE;;MK;AC;;8165967;
C;003;32648;56;20020102 13:56;72//6846;
D;003;32648;56;20020102 13:56;P;;;;;;
D;003;32648;56;20020102 13:56;V;;;;;;
B;003;32922;57;20020102 13:56;;;6;BLANCHE ST;NORTH GOSFORD;2250;682.9;M;20011017;20011128;197000;A;R;RESIDENCE;;FC;AC;;8176040;
C;003;32922;57;20020102 13:56;41//29765;
D;003;32922;57;20020102 13:56;P;;;;;;
D;003;32922;57;20020102 13:56;P;;;;;;
D;003;32922;57;20020102 13:56;V;;;;;;
D;003;32922;57;20020102 13:56;V;;;;;;
B;003;32970;58;20020102 13:56;;;12;BLUE WREN CL;GREEN POINT;2251;805.3;M;20011012;20011116;443000;A;R;RESIDENCE;;FJ;AC;;8159195;
