A;004;20020617 11:49;PDANN;
B;004;124985;60;20020617 11:49;;;129;TIRRIKI ST;CHARLESTOWN;2290;711.7;M;20020408;20020530;369950;A;R;RESIDENCE;;EN;;;8655739;
C;004;124985;60;20020617 11:49;58//802972;
D;004;124985;60;20020617 11:49;P;;;;;;
D;004;124985;60;20020617 11:49;P;;;;;;
D;004;124985;60;20020617 11:49;V;;;;;;
D;004;124985;60;20020617 11:49;V;;;;;;
B;004;125432;61;20020617 11:49;;;3;YARRABEE CL;CHARLESTOWN;2290;543.8;M;20020416;20020527;235000;A;R;RESIDENCE;;EB;;;8645693;
C;004;125432;61;20020617 11:49;12//238749;
D;004;125432;61;20020617 11:49;P;;;;;;
D;004;125432;61;20020617 11:49;P;;;;;;
D;004;125432;61;20020617 11:49;V;;;;;;
D;004;125432;61;20020617 11:49;V;;;;;;
B;004;125638;62;20020617 11:49;;;50;DORA ST;DORA CREEK;2264;992;M;20020314;20020521;305000;A;R;RESIDENCE;;NE;;;8649343;
C;004;125638;62;20020617 11:49;42//612282;
D;004;125638;62;20020617 11:49;P;;;;;;
D;004;125638;62;20020617 11:49;P;;;;;;
D;004;125638;62;20020617 11:49;V;;;;;;
D;004;125638;62;20020617 11:49;V;;;;;;
B;004;125719;63;20020617 11:49;;;180;DORA ST;DORA CREEK;2264;1606;M;20020204;20020327;550000;A;R;RESIDENCE;;NE;;;8657829;
C;004;125719;63;20020617 11:49;8//7744;
D;004;125719;63;20020617 11:49;P;;;;;;
D;004;125719;63;20020617 11:49;P;;;;;;
D;004;125719;63;20020617 11:49;V;;;;;;
D;004;125719;63;20020617 11:49;V;;;;;;
B;004;126042;64;20020617 11:49;;;11;PAMELA AVE;DORA CREEK;2264;1189;M;20020411;20020522;355000;A;R;RESIDENCE;;NE;;;8644507;
C;004;126042;64;20020617 11:49;133//15150;
D;004;126042;64;20020617 11:49;P;;;;;;
D;004;126042;64;20020617 11:49;P;;;;;;
D;004;126042;64;20020617 11:49;V;;;;;;
B;004;126331;65;20020617 11:49;;;30;FREDERICK ST;DUDLEY;2290;;;20020327;20020517;350000;A;R;RESIDENCE;;EZ;;;8644265;
C;004;126331;65;20020617 11:49;27, 28/G/2657;
D;004;126331;65;20020617 11:49;P;;;;;;
D;004;126331;65;20020617 11:49;P;;;;;;
D;004;126331;65;20020617 11:49;V;;;;;;
D;004;126331;65;20020617 11:49;V;;;;;;
